TSPConcorde;50;6;5.74209%;71;259200;13000;10240MiliSegs;62MiliSegs;4_TSP_thread;245105;243455;2062;200;139439;73838;2.215312904854442;7.776606963057929;-1;map_2.txt
TSPConcorde;50;10;9.06516%;71;259200;13000;12231MiliSegs;69MiliSegs;4_TSP_thread;236960;234415;2052;200;220006;73838;3.497361897005028;12.27709585448825;-1;map_2.txt
TSPConcorde;50;12;11.32747%;71;259200;13000;13325MiliSegs;96MiliSegs;4_TSP_thread;231520;228270;2063;200;274247;73838;4.370165561652188;15.340975020724386;-1;map_2.txt
TSPConcorde;50;14;13.55633%;71;259200;13000;15558MiliSegs;52MiliSegs;4_TSP_thread;225775;222630;2045;200;327573;73838;5.230064490931262;18.35955356387474;-1;map_2.txt
TSPConcorde;50;16;14.89217%;71;259200;13000;18253MiliSegs;78MiliSegs;4_TSP_thread;222955;219040;2048;200;360552;73838;5.745435266156074;20.168704745356788;-1;map_2.txt
FPPWR;50;8;2.00814%;71;259200;13000;9445MiliSegs;33MiliSegs;4_TSP_thread;254830;252450;5773;793;47893;193223;0.774745537075143;1.0392864369659776;-1;map_2.txt
FPPWR;50;2;0.95201%;71;259200;13000;6121MiliSegs;61MiliSegs;4_TSP_thread;257185;256190;6137;793;22166;193223;0.367286332114006;0.49269816369661146;-1;map_2.txt
FPPWR;50;4;1.46752%;71;259200;13000;9590MiliSegs;59MiliSegs;4_TSP_thread;255920;254325;5987;793;34757;193223;0.5661710771985977;0.7594931411368031;-1;map_2.txt
FPPWR;50;6;1.47195%;71;259200;13000;10734MiliSegs;79MiliSegs;4_TSP_thread;255870;254455;5847;793;34754;193223;0.5678827779682978;0.7617893110519078;-1;map_2.txt
FPPWR;50;10;2.20814%;71;259200;13000;13816MiliSegs;94MiliSegs;4_TSP_thread;254325;252450;5775;793;51522;193223;0.8519060309023035;1.1427937833998907;-1;map_2.txt
FPPWR;50;12;2.77218%;71;259200;13000;16710MiliSegs;72MiliSegs;4_TSP_thread;252875;250090;5753;793;65691;193223;1.069515293971957;1.4347068630418287;-1;map_2.txt
