Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData
TSPbasedMobility;20;2;6.93698;10;1000000;1000;121;4;932530;929170
TSPbasedMobility;20;2;6.46295;10;1000000;1000;39;4;937845;934155
TSPbasedMobility;20;2;6.58083;10;1000000;1000;31;4;935960;932970
TSPbasedMobility;20;2;7.06358;10;1000000;1000;18;4;932470;892420
TSPbasedMobility;20;2;5.20523;10;1000000;1000;63;4;949115;946360
TSPbasedMobility;20;2;5.98025;10;1000000;1000;44;4;941735;938650
TSPbasedMobility;20;2;6.79835;10;1000000;1000;36;4;933125;930180
TSPbasedMobility;20;2;5.88705;10;1000000;1000;17;4;944905;918945
TSPbasedMobility;20;2;6.42118;10;1000000;1000;18;4;939090;901855
TSPbasedMobility;20;2;6.43170;10;1000000;1000;32;4;937435;934060
TSPbasedMobility;20;2;6.35545;10;1000000;1000;43;4;938390;935080
TSPbasedMobility;20;2;5.51015;10;1000000;1000;23;4;946135;943855
TSPbasedMobility;20;2;6.16240;10;1000000;1000;320;4;939830;936985
TSPbasedMobility;20;2;6.69885;10;1000000;1000;56;4;934235;931230
TSPbasedMobility;20;2;5.60555;10;1000000;1000;378;4;945420;942795
TSPbasedMobility;20;2;6.45285;10;1000000;1000;91;4;936995;933845
TSPbasedMobility;20;2;6.04723;10;1000000;1000;85;4;941040;938335
TSPbasedMobility;20;2;6.74390;10;1000000;1000;224;4;934845;914695
TSPbasedMobility;20;2;6.76265;10;1000000;1000;54;4;936545;905455
TSPbasedMobility;20;2;6.18015;10;1000000;1000;16;4;939860;937255
TSPbasedMobility;20;2;6.79705;10;1000000;1000;89;4;935590;909615
TSPbasedMobility;20;2;4.83025;10;1000000;1000;77;4;952935;950645
TSPbasedMobility;20;2;7.18188;10;1000000;1000;66;4;929815;926210
TSPbasedMobility;20;2;6.86322;10;1000000;1000;17;4;932865;930045
TSPbasedMobility;20;2;6.29620;10;1000000;1000;56;4;938490;935255
TSPbasedMobility;20;2;5.60148;10;1000000;1000;137;4;945250;942745
TSPbasedMobility;20;2;6.68635;10;1000000;1000;29;4;936350;904870
TSPbasedMobility;20;2;8.04435;10;1000000;1000;23;4;925980;874465
TSPbasedMobility;20;2;5.81370;10;1000000;1000;131;4;946565;910305
TSPbasedMobility;20;2;6.98475;10;1000000;1000;36;4;931895;928905
TSPbasedMobility;20;2;6.27360;10;1000000;1000;23;4;939990;914755
TSPbasedMobility;20;2;7.66645;10;1000000;1000;14;4;928385;880410
TSPbasedMobility;20;2;6.37912;10;1000000;1000;38;4;937740;934930
TSPbasedMobility;20;2;6.96745;10;1000000;1000;85;4;931650;928370
TSPbasedMobility;20;2;5.97545;10;1000000;1000;81;4;941835;938800
TSPbasedMobility;20;2;7.15625;10;1000000;1000;13;4;932360;889685
TSPbasedMobility;20;2;6.93010;10;1000000;1000;40;4;932885;928870
TSPbasedMobility;20;2;5.40962;10;1000000;1000;19;4;947220;944475
TSPbasedMobility;20;2;5.85258;10;1000000;1000;102;4;942935;940140
TSPbasedMobility;20;2;5.87160;10;1000000;1000;19;4;943450;932440
TSPbasedMobility;20;2;6.29973;10;1000000;1000;23;4;941115;916110
TSPbasedMobility;20;2;6.37733;10;1000000;1000;246;4;937515;934035
TSPbasedMobility;20;2;6.73067;10;1000000;1000;35;4;934830;931530
TSPbasedMobility;20;2;6.20635;10;1000000;1000;30;4;940780;917980
TSPbasedMobility;20;2;6.05490;10;1000000;1000;39;4;944365;908715
TSPbasedMobility;20;2;7.44915;10;1000000;1000;21;4;927205;923445
TSPbasedMobility;20;2;6.25485;10;1000000;1000;505;4;939085;935920
TSPbasedMobility;20;2;6.62497;10;1000000;1000;21;4;935565;931975
TSPbasedMobility;20;2;6.04267;10;1000000;1000;138;4;940965;937755
TSPbasedMobility;20;2;4.41995;10;1000000;1000;21;4;957120;954395
TSPbasedMobility;20;2;6.37790;10;1000000;1000;159;4;938425;934210
TSPbasedMobility;20;2;7.25398;10;1000000;1000;31;4;929115;925450
TSPbasedMobility;20;2;5.36897;10;1000000;1000;76;4;947490;944920
TSPbasedMobility;20;2;5.73500;10;1000000;1000;176;4;946690;911320
TSPbasedMobility;20;2;6.23905;10;1000000;1000;91;4;939490;935795
TSPbasedMobility;20;4;13.96255;10;1000000;1000;64;4;864110;858130
TSPbasedMobility;20;4;15.37785;10;1000000;1000;48;4;855885;781045
TSPbasedMobility;20;4;14.71573;10;1000000;1000;15;4;856115;849590
TSPbasedMobility;20;4;12.68698;10;1000000;1000;42;4;874885;869940
TSPbasedMobility;20;4;13.17785;10;1000000;1000;114;4;876290;825050
TSPbasedMobility;20;4;10.90690;10;1000000;1000;115;4;893530;888510
TSPbasedMobility;20;4;14.41710;10;1000000;1000;57;4;859015;852430
TSPbasedMobility;20;4;13.48042;10;1000000;1000;31;4;875525;796415
TSPbasedMobility;20;4;14.59997;10;1000000;1000;21;4;857130;850970
TSPbasedMobility;20;4;12.52302;10;1000000;1000;87;4;877675;871575
