Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
KingstonImprovedOverNSNMobility;20;8;17.47049;10;3750000;3000;161;4;3504895;2282920;826
KingstonImprovedOverNSNMobility;20;16;25.96807;10;3750000;3000;206;4;3423590;2376255;583
KingstonImprovedOverNSNMobility;20;2;2.92419;10;3750000;3000;91;4;3704985;3568790;236
KingstonImprovedOverNSNMobility;20;4;7.21280;10;3750000;3000;99;4;3669070;3219755;354
TSPbasedMobility;20;16;26.30356;10;3750000;3000;556;4;2782445;2743325;564
KingstonImprovedOverNSNMobility;20;8;13.93026;10;3750000;3000;119;4;3562050;3000535;215
KingstonImprovedOverNSNMobility;20;16;30.97625;10;3750000;3000;176;4;3339485;2059365;458
KingstonImprovedOverNSNMobility;20;2;3.58739;10;3750000;3000;82;4;3702640;3558900;682
KingstonImprovedOverNSNMobility;20;4;7.40184;10;3750000;3000;89;4;3640835;3304930;815
KingstonImprovedOverNSNMobility;20;8;14.88439;10;3750000;3000;109;4;3554240;2502760;145
KingstonImprovedOverNSNMobility;20;16;22.33792;10;3750000;3000;153;4;3446815;2259880;532
KingstonImprovedOverNSNMobility;20;2;3.53874;10;3750000;3000;79;4;3687810;3502685;323
KingstonImprovedOverNSNMobility;20;4;7.44227;10;3750000;3000;91;4;3644185;3324530;508
KingstonImprovedOverNSNMobility;20;8;14.24041;10;3750000;3000;104;4;3541840;2961325;48
KingstonImprovedOverNSNMobility;20;16;25.70396;10;3750000;3000;155;4;3416755;1666280;365
KingstonImprovedOverNSNMobility;20;2;3.53636;10;3750000;3000;79;4;3689915;3515370;270
KingstonImprovedOverNSNMobility;20;4;7.94395;10;3750000;3000;92;4;3630610;3274030;536
KingstonImprovedOverNSNMobility;20;8;18.52861;10;3750000;3000;106;4;3499710;2767815;699
KingstonImprovedOverNSNMobility;20;16;30.92079;10;3750000;3000;145;4;3314505;1917390;483
TSPbasedMobility;20;4;6.80145;10;3750000;3000;929;4;3501090;3489595;766
KingstonImprovedOverNSNMobility;20;2;3.51196;10;3750000;3000;52;4;3701535;3547820;585
KingstonImprovedOverNSNMobility;20;4;7.73684;10;3750000;3000;59;4;3640590;3309025;1119
KingstonImprovedOverNSNMobility;20;8;13.96420;10;3750000;3000;68;4;3571280;2968445;633
KingstonImprovedOverNSNMobility;20;16;27.67613;10;3750000;3000;95;4;3391010;2164080;628
KingstonImprovedOverNSNMobility;20;2;3.80659;10;3750000;3000;44;4;3692725;3514725;45
KingstonImprovedOverNSNMobility;20;4;7.01466;10;3750000;3000;50;4;3640585;3347375;201
KingstonImprovedOverNSNMobility;20;8;13.11713;10;3750000;3000;59;4;3581540;3064635;81
KingstonImprovedOverNSNMobility;20;16;30.14080;10;3750000;3000;88;4;3336290;2158470;889
KingstonImprovedOverNSNMobility;20;2;3.44490;10;3750000;3000;42;4;3703915;3475085;669
