Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize;mapName
ZigZagOverNSN;20;2;4.45129;71;259200;12649;4125;1;254225;244430;2465;40;42797;57325;1.7173196135307112;7.765010795066033;12
ZigZagOverNSN;20;4;7.52797;71;259200;12649;4785;1;252960;231065;1626;40;72134;57325;2.904309675544885;13.132090150915554;12
ZigZagOverNSN;20;8;12.43287;71;259200;12649;6370;1;247535;214375;1619;40;117756;57325;4.796632087334249;21.68839140055887;12
ZigZagOverNSN;20;16;24.08353;71;259200;12649;11895;1;235500;179090;1556;40;222117;57325;9.29148388679317;42.01225684181055;12
FPPWRMobility;800;2;0.22374;71;259200;12649;102620;1;258960;258175;27827;170;70900;560534;0.08631902321721313;0.03991531435720517;12
FPPWRMobility;800;4;0.27440;71;259200;12649;106991;1;258885;257930;26326;14203;90738;560534;0.10586497151729778;0.04895367741704086;12
FPPWRMobility;800;8;0.25642;71;259200;12649;115205;1;258900;258000;18729;171;76617;560534;0.09892607149491377;0.045745017664372986;12
FPPWRMobility;800;16;0.39992;71;259200;12649;139352;1;258735;257185;19473;170;122848;560534;0.15428842812881072;0.07134546801975926;12
ZigZagOverNSN;800;2;0.40668;71;259200;12649;108403;1;258630;257595;23010;170;157449;331446;0.15689691125828947;0.12269775287120264;12
ZigZagOverNSN;800;4;0.54034;71;259200;12649;113799;1;258475;257005;26248;975;142509;331446;0.20846375748980747;0.16302446232978554;12
ZigZagOverNSN;800;8;0.63071;71;259200;12649;119953;1;258865;256640;25025;13;163332;331446;0.24333128822302288;0.1902918421323761;12
ZigZagOverNSN;800;16;1.11790;71;259200;12649;146682;1;257515;254765;15645;4553;371926;331446;0.4312881262740994;0.33727932251481857;12
FPPWRMobility;20;2;2.13619;71;259200;12649;3390;1;254080;253150;2869;869;20498;91312;0.8241467097241254;2.339438706418579;13
FPPWRMobility;20;4;3.74836;71;259200;12649;4135;1;250275;247800;2869;869;36169;91312;1.4461266741921965;4.105003000160082;13
FPPWRMobility;20;8;6.00405;71;259200;12649;6144;1;244740;241680;2858;869;58128;91312;2.3163776720393248;6.575314225869469;13
FPPWRMobility;20;16;11.70197;71;259200;12649;12499;1;230935;224950;2849;869;112725;91312;4.514647990969363;12.815366646872906;13
ZigZagOverNSN;20;2;4.20930;71;259200;12649;4081;1;254180;244580;2619;166;40811;59275;1.6239574998094815;7.101303820339394;13
ZigZagOverNSN;20;4;6.90008;71;259200;12649;4843;1;253980;232525;1883;166;66331;59275;2.6620668057460732;11.64078812398789;13
