Strategy;mapName;nPOIs;nUAV;SucessTax;V2V_range;ctRounds;dimX;simumationTimeMS;pathTime;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize
DADCA-NSN;40;500;4;0.0;71;2;13000;125;143;4;2;2;-1;0;0;255091;0.0;0.0
DADCA-NSN;41;50;4;0.0;71;2;13000;23;52;4;2;2;-1;0;0;84395;0.0;0.0
DADCA-NSN;41;500;4;0.0;71;2;13000;125;144;4;2;2;-1;0;0;266186;0.0;0.0
DADCA-NSN;42;50;4;0.0;71;2;13000;24;53;4;2;2;-1;0;0;83013;0.0;0.0
DADCA-NSN;42;500;4;0.0;71;2;13000;140;143;4;2;2;-1;0;0;267615;0.0;0.0
DADCA-NSN;43;50;4;0.0;71;2;13000;27;53;4;2;2;-1;0;0;80723;0.0;0.0
DADCA-NSN;43;500;4;0.0;71;2;13000;125;128;4;2;2;-1;0;0;262359;0.0;0.0
DADCA-NSN;44;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;84491;0.0;0.0
DADCA-NSN;44;500;4;0.0;71;2;13000;125;128;4;2;2;-1;0;0;257238;0.0;0.0
DADCA-NSN;45;50;4;0.0;71;2;13000;31;52;4;2;2;-1;0;0;83789;0.0;0.0
DADCA-NSN;45;500;4;0.0;71;2;13000;125;128;4;2;2;-1;0;0;264718;0.0;0.0
DADCA-NSN;46;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;87080;0.0;0.0
DADCA-NSN;46;500;4;0.0;71;2;13000;140;144;4;2;2;-1;0;0;260903;0.0;0.0
DADCA-NSN;47;50;4;0.0;71;2;13000;32;50;4;2;2;-1;0;0;72744;0.0;0.0
DADCA-NSN;47;500;4;0.0;71;2;13000;140;159;4;2;2;-1;0;0;268033;0.0;0.0
DADCA-NSN;48;50;4;0.0;71;2;13000;16;50;4;2;2;-1;0;0;84685;0.0;0.0
DADCA-NSN;48;500;4;0.0;71;2;13000;141;144;4;2;2;-1;0;0;257875;0.0;0.0
DADCA-NSN;49;50;4;0.0;71;2;13000;15;50;4;2;2;-1;0;0;84357;0.0;0.0
DADCA-NSN;49;500;4;0.0;71;2;13000;140;144;4;2;2;-1;0;0;255706;0.0;0.0
DADCA-NSN;50;50;4;0.0;71;2;13000;1;51;4;2;2;-1;0;0;72276;0.0;0.0
DADCA-NSN;50;500;4;0.0;71;2;13000;141;144;4;2;2;-1;0;0;264545;0.0;0.0
DADCA-NSN;51;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;79247;0.0;0.0
DADCA-NSN;51;500;4;0.0;71;2;13000;141;128;4;2;2;-1;0;0;263676;0.0;0.0
DADCA-NSN;52;50;4;0.0;71;2;13000;16;50;4;2;2;-1;0;0;76149;0.0;0.0
DADCA-NSN;52;500;4;0.0;71;2;13000;125;144;4;2;2;-1;0;0;262238;0.0;0.0
DADCA-NSN;53;50;4;0.0;71;2;13000;17;50;4;2;2;-1;0;0;80784;0.0;0.0
DADCA-NSN;53;500;4;0.0;71;2;13000;140;144;4;2;2;-1;0;0;261860;0.0;0.0
DADCA-NSN;54;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;79132;0.0;0.0
DADCA-NSN;55;50;4;0.0;71;2;13000;15;50;4;2;2;-1;0;0;84522;0.0;0.0
DADCA-NSN;55;500;4;0.0;71;2;13000;141;159;4;2;2;-1;0;0;257873;0.0;0.0
DADCA-NSN;56;50;4;0.0;71;2;13000;16;66;4;2;2;-1;0;0;93246;0.0;0.0
DADCA-NSN;56;500;4;0.0;71;2;13000;140;144;4;2;2;-1;0;0;249069;0.0;0.0
DADCA-NSN;57;50;4;0.0;71;2;13000;15;50;4;2;2;-1;0;0;81969;0.0;0.0
