Strategy;nPOIs;nUAV;SucessTax;V2V_range;ctRounds;dimX;simumationTimeMS;pathTime;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize;mapName
DADCA-parted-nsn;20;16;43.49248;71;259200;13000;7879;0;4;212555;106700;1377;241;422758;49958;16.779504958276174;87.05808249299781;4
DADCA-NSN;20;16;44.06993;71;259200;13000;9782;0;4;199750;104940;1483;36;412940;49412;17.00228653454123;89.18871265589506;4
FPPWR;20;16;18.44898;71;259200;13000;9720;0;4;213775;209825;3011;680;177448;100278;7.117661120160797;18.39783165146571;4
TSPConcorde;20;4;11.22184;71;259200;13000;3713;188;4;231280;228750;1419;211;108501;46196;4.329412198978813;24.29179240573444;5
DADCA-lkh-cutted;20;4;11.24556;71;259200;13000;3526;47;4;244185;218045;1337;125;109302;48977;4.338566077008079;22.960906694172657;5
DADCA-lkh;20;4;11.85928;71;259200;13000;3448;47;4;244695;217380;2638;211;115089;47923;4.575338946521108;24.746527866332894;5
DADCA-parted-nsn;20;4;9.99624;71;259200;13000;3481;0;4;246090;223900;1482;211;96925;55612;3.856573466792411;17.974966600600464;5
DADCA-NSN;20;4;10.38821;71;259200;13000;3651;0;4;245405;223095;2157;125;100314;54523;4.00779850870675;19.05290195801386;5
FPPWR;20;4;5.07639;71;259200;13000;3434;0;4;246765;245255;3292;859;48496;91679;1.9584833676268882;5.537133791695911;5
TSPConcorde;20;8;22.18731;71;259200;13000;4852;156;4;204455;199330;1310;125;215219;47923;8.559917862178022;46.29782588478483;5
DADCA-lkh-cutted;20;8;22.11603;71;259200;13000;4758;47;4;231210;177785;1335;125;214070;48977;8.532419017203937;45.155950941447216;5
DADCA-lkh;20;8;23.36497;71;259200;13000;4820;46;4;230690;177685;2635;211;225927;47923;9.014262783874411;48.75523054859352;5
DADCA-parted-nsn;20;8;19.70197;71;259200;13000;4727;0;4;233410;187955;1489;211;191317;55612;7.6010677440557854;35.427547278631586;5
DADCA-NSN;20;8;20.23438;71;259200;13000;5243;0;4;231960;187780;1733;125;191521;54523;7.806471836419755;37.11163178841957;5
FPPWR;20;8;9.92458;71;259200;13000;4898;0;4;234865;232220;3288;859;94873;91679;3.8289257782731285;10.825353262234481;5
TSPConcorde;20;12;33.07070;71;259200;13000;6256;156;4;177305;170020;1312;125;320577;47923;12.758757061137786;69.00798844494113;5
DADCA-lkh-cutted;20;12;33.06173;71;259200;13000;6350;47;4;216795;138410;1337;211;321266;48977;12.755296448712086;67.50460092504997;5
DADCA-lkh;20;12;34.97946;71;259200;13000;6149;47;4;215725;136435;2639;211;337906;47923;13.49516050097165;72.99095636441483;5
DADCA-parted-nsn;20;12;29.52961;71;259200;13000;6256;0;4;221355;153660;1482;125;286198;55612;11.392596581599605;53.09934967184452;5
DADCA-NSN;20;12;30.05517;71;259200;13000;7160;0;4;218540;153955;1528;125;282986;54523;11.595358701036426;55.12383719363648;5
FPPWR;20;12;14.73293;71;259200;13000;6836;16;4;222985;219545;3290;859;141380;91679;5.684000092878372;16.07012319150595;5
TSPConcorde;20;16;43.97666;71;259200;13000;8179;202;4;150300;141280;1310;125;426596;47923;16.966303607491238;91.76524622961269;5
DADCA-lkh-cutted;20;16;43.97512;71;259200;13000;8081;32;4;206220;99015;1335;125;427183;48977;16.965708233310473;89.7872792142041;5
DADCA-lkh;20;16;46.49836;71;259200;13000;7893;47;4;201845;97265;2638;211;448211;47923;17.939182229747754;97.02723189179763;5
DADCA-parted-nsn;20;16;39.66898;71;259200;13000;8197;0;4;211830;118020;1466;125;384906;55612;15.30439100365798;71.33169366590211;5
DADCA-NSN;20;16;39.53106;71;259200;13000;9875;0;4;204475;121610;1486;125;371847;54523;15.251179436252096;72.50345193545006;5
FPPWR;20;16;19.58314;71;259200;13000;9406;16;4;210675;206505;3288;859;187111;91679;7.55522393213687;21.360551960753025;5
TSPConcorde;20;4;10.21807;71;259200;13000;3559;171;4;233745;231910;1315;245;98854;50807;3.9421585052773978;20.111549285883864;6
DADCA-lkh-cutted;20;4;10.34144;71;259200;13000;3411;62;4;245800;221320;1448;245;100327;53835;3.9897512288523105;19.209501597817756;6
DADCA-lkh;20;4;11.25376;71;259200;13000;3557;47;4;244340;220295;2778;518;108157;50807;4.341729002343392;22.150021796354974;6
DADCA-parted-nsn;20;4;9.88358;71;259200;13000;3357;0;4;246420;223725;1604;334;95826;55646;3.813111151596555;17.76153560891757;6
DADCA-NSN;20;4;10.13870;71;259200;13000;3587;0;4;246010;226890;2067;244;97617;54719;3.9115339458542917;18.528657299392027;6
FPPWR;20;4;6.26659;71;259200;13000;3510;15;4;244120;239955;2586;671;60100;76973;2.4176657045419896;8.14128266557473;6
TSPConcorde;20;8;20.45380;71;259200;13000;4789;172;4;208665;204080;1680;518;197859;45339;7.8911266027472955;45.11303768129202;6
DADCA-lkh-cutted;20;8;20.35802;71;259200;13000;4662;62;4;232575;185040;1445;245;197638;53835;7.854176192653557;37.81559337114892;6
DADCA-lkh;20;8;22.17921;71;259200;13000;4695;47;4;230480;182055;2779;518;212698;50807;8.556792147729004;43.65383755567851;6
DADCA-parted-nsn;20;8;19.53675;71;259200;13000;4664;0;4;233660;188090;1604;334;188750;55646;7.537325495827616;35.108988400217775;6
DADCA-NSN;20;8;19.70409;71;259200;13000;5180;0;4;233150;197750;1432;245;186897;54719;7.601886383554335;36.0095935711048;6
FPPWR;20;8;12.22531;71;259200;13000;4712;16;4;229400;220580;2584;671;117104;76973;4.716554260021338;15.882593431430902;6
TSPConcorde;20;12;30.20920;71;259200;13000;6438;171;4;184890;178440;1317;245;292221;50807;11.654784486454044;59.458738734601305;6
DADCA-lkh-cutted;20;12;30.35069;71;259200;13000;6333;47;4;220660;149630;1448;518;294677;53835;11.709372856652951;56.377253542202006;6
DADCA-lkh;20;12;33.20052;71;259200;13000;6243;47;4;215620;142870;2780;518;320152;50807;12.808842914094651;65.34635155260759;6
DADCA-parted-nsn;20;12;29.00019;71;259200;13000;6193;0;4;221095;152370;1609;245;280916;55646;11.188346026710867;52.11550318304023;6
DADCA-NSN;20;12;29.10629;71;259200;13000;7148;0;4;221260;171675;1328;245;273448;54719;11.229278001638468;53.19228893116999;6
FPPWR;20;12;18.23630;71;259200;13000;6444;16;4;214550;202485;2586;671;174945;76973;7.035611115874106;23.69181922537212;6
TSPConcorde;20;16;40.72155;71;259200;13000;7800;172;4;159110;150355;1678;518;394164;45339;15.710473405826093;89.81571509715968;6
DADCA-lkh-cutted;20;16;40.33333;71;259200;13000;8315;47;4;207900;112735;1445;518;391206;53835;15.560699588477364;74.9202811058481;6
DADCA-lkh;20;16;44.03617;71;259200;13000;7966;47;4;202500;106375;2771;518;424182;50807;16.98926272433699;86.67342882177942;6
DADCA-parted-nsn;20;16;38.63243;71;259200;13000;8268;0;4;210915;118225;1611;334;374261;55646;14.9044856086153;69.42534359618097;6
DADCA-NSN;20;16;38.28000;71;259200;13000;9563;0;4;206640;150515;1295;243;357536;54719;14.768517030083064;69.95741176186571;6
FPPWR;20;16;24.12056;71;259200;13000;8650;15;4;199935;183375;2583;671;230957;76973;9.305772867131534;31.336394932775043;6
TSPConcorde;20;4;10.41098;71;259200;13000;3635;172;4;233380;230690;1375;195;100680;50659;4.016580277873038;20.551088809978314;7
DADCA-lkh-cutted;20;4;10.80488;71;259200;13000;3463;31;4;244930;221460;1374;195;105087;51343;4.168549537513338;21.04450538775407;7
