Strategy;nUAV;nPOIs;SucessTax;pathTime;globalAvgDelay;tourSize;memory;validRVZ;totRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy;mapName
DADCA-NSN;4;32;6.2625399999999996;0.00036666666666666667;4834.0;65819.0;0.0;397.0;460.5;128290.0;32072.0;641440.0;100.5
DADCA-NSN;4;48;4.9057200000000005;0.00036666666666666667;6179.0;82005.0;0.0;305.5;365.5;144781.0;36195.0;723900.0;100.5
DADCA-NSN;4;50;4.775869999999999;0.00038333333333333334;6302.5;83232.0;0.0;299.0;357.5;147045.5;36761.0;735220.0;99.5
DADCA-NSN;4;80;3.5877;0.0004166666666666667;8401.5;106332.0;650144.0;219.0;284.0;172614.0;43153.0;863060.0;100.5
DADCA-NSN;4;250;1.6746750000000001;0.0007833333333333334;16443.0;186978.5;1300368.0;95.0;154.0;214148.5;53536.5;1070730.0;99.5
DADCA-NSN;4;320;1.384725;0.001;19090.5;212370.0;1300256.0;75.0;134.0;210309.0;52577.0;1051540.0;99.5
DADCA-NSN;4;500;0.964855;0.0018416666666666668;26760.5;264017.0;2600600.0;49.0;106.0;203070.5;50767.5;1015350.0;99.5
DADCA-NSN;8;16;18.21277;0.00035;2697.0;46244.0;0.0;2788.0;3326.0;447492.0;55936.0;1118720.0;100.5
DADCA-NSN;8;32;12.232045;0.00036666666666666667;3847.5;65819.0;0.0;1867.0;2339.5;569928.5;71240.5;1424810.0;100.5
DADCA-NSN;8;48;9.552464999999998;0.0004166666666666667;4774.0;82005.0;0.0;1426.0;1904.0;642894.0;80361.5;1607230.0;100.5
DADCA-NSN;8;50;9.31246;0.00043333333333333337;4884.5;83232.0;0.0;1391.5;1874.0;654891.5;81861.0;1637220.0;99.5
DADCA-NSN;8;80;6.9175699999999996;0.00046666666666666666;6205.5;106332.0;0.0;1019.5;1509.0;759371.5;94921.0;1898420.0;100.5
DADCA-NSN;8;250;3.14157;0.000925;12079.5;186978.5;650160.0;430.0;905.0;951383.5;118922.5;2378450.0;99.5
DADCA-NSN;8;320;2.545095;0.0011166666666666666;14413.5;212370.0;1300256.0;343.5;817.0;936165.0;117020.0;2340400.0;99.5
DADCA-NSN;8;500;1.71848;0.0025250000000000003;20684.5;264017.0;2600592.0;217.0;674.0;824183.0;103022.5;2060450.0;99.5
DADCA-NSN;16;16;35.827065;0.00035;2385.5;46244.0;650136.0;12081.0;15818.0;1808530.0;113032.5;2260650.0;100.5
DADCA-NSN;16;32;24.12854;0.00036666666666666667;3409.0;65819.0;650112.0;7963.5;11617.5;2359231.0;147451.5;2949030.0;100.5
DADCA-NSN;16;48;18.833750000000002;0.00036666666666666667;4195.5;82005.0;650256.0;6142.0;9747.5;2648895.0;165555.5;3311110.0;100.5
DADCA-NSN;16;50;18.31385;0.00036666666666666667;4280.0;83251.0;650144.0;5945.0;9511.0;2682566.0;167660.0;3353200.0;100.0
DADCA-NSN;16;80;13.5798;0.0004166666666666667;5570.0;106332.0;650112.0;4340.0;7974.5;3121491.0;195093.0;3901860.0;100.5
DADCA-NSN;16;250;6.035845;0.0008666666666666667;10738.5;186978.5;650112.0;1828.5;5273.0;3788628.0;236788.5;4735770.0;99.5
DADCA-NSN;16;320;4.8900500000000005;0.0010166666666666668;12490.0;212370.0;650112.0;1423.5;4782.0;3749187.0;234323.5;4686470.0;99.5
DADCA-NSN;16;500;3.2385;0.0019166666666666668;16942.0;264017.0;2600688.0;884.0;4233.0;3298516.0;206157.0;4123140.0;99.5
DADCA-Parted-NSN;2;16;4.45228;0.00035;3042.5;47972.0;0.0;96.0;108.0;8751.0;4375.0;87500.0;100.5
DADCA-Parted-NSN;2;32;3.029575;0.00036666666666666667;4561.5;69450.5;0.0;62.0;75.5;11351.0;5675.5;113510.0;100.5
DADCA-Parted-NSN;2;48;2.4551100000000003;0.00036666666666666667;5386.5;84007.5;0.0;50.0;62.0;13527.5;6763.5;135270.0;100.5
DADCA-Parted-NSN;2;50;2.3973199999999997;0.00036666666666666667;5510.5;85932.0;0.0;48.0;60.0;13438.5;6719.0;134380.0;99.5
DADCA-Parted-NSN;2;80;1.820155;0.0004;6725.5;109435.5;0.0;35.0;46.0;15938.0;7969.0;159380.0;100.5
DADCA-Parted-NSN;2;250;0.900775;0.0005666666666666667;11053.5;193290.5;0.0;14.0;26.0;21467.5;10733.5;214670.0;99.5
DADCA-Parted-NSN;2;320;0.7645649999999999;0.00055;12234.5;218523.5;0.0;12.0;22.0;21645.0;10822.0;216440.0;99.5
DADCA-Parted-NSN;2;500;0.560805;0.0007666666666666667;15217.0;271608.0;325056.0;6.0;18.0;18629.0;9314.5;186290.0;99.5
DADCA-Parted-NSN;4;16;8.676455;0.00035;2086.5;47972.0;0.0;566.0;677.5;49262.0;12315.0;246300.0;100.5
DADCA-Parted-NSN;4;32;5.836495;0.00035;2892.5;69450.5;0.0;366.5;480.0;64450.5;16112.5;322250.0;100.5
DADCA-Parted-NSN;4;48;4.692485;0.00036666666666666667;3656.0;84007.5;0.0;288.0;404.0;74856.5;18714.0;374280.0;100.5
DADCA-Parted-NSN;4;50;4.57116;0.00036666666666666667;3751.5;85932.0;0.0;278.0;394.5;75045.0;18761.0;375220.0;99.5
DADCA-Parted-NSN;4;80;3.4163550000000003;0.00036666666666666667;6612.0;109435.5;0.0;201.0;316.0;94468.0;23617.0;472340.0;100.5
DADCA-Parted-NSN;4;250;1.5933;0.00045000000000000004;11066.5;193290.5;0.0;79.0;188.0;119658.0;29914.0;598280.0;99.5
DADCA-Parted-NSN;4;320;1.323105;0.00048333333333333334;12018.5;218523.5;650112.0;62.0;170.0;112076.5;28019.0;560380.0;99.5
DADCA-Parted-NSN;4;500;0.92187;0.0006166666666666667;14853.0;271608.0;325056.0;30.0;136.0;87629.0;21907.0;438140.0;99.5
DADCA-Parted-NSN;8;16;16.923045000000002;0.00036666666666666667;1762.0;47972.0;0.0;2624.0;3563.0;245186.5;30648.0;612960.0;100.5
DADCA-Parted-NSN;8;32;11.419360000000001;0.00036666666666666667;2368.5;69450.5;0.0;1706.0;2657.0;314496.5;39312.0;786240.0;100.5
DADCA-Parted-NSN;8;48;9.136505;0.00038333333333333334;2767.0;84007.5;0.0;1338.5;2273.5;366644.0;45830.5;916610.0;100.5
DADCA-Parted-NSN;8;50;8.90783;0.00038333333333333334;2822.0;85910.0;0.0;1304.0;2236.0;376903.0;47112.0;942240.0;100.0
DADCA-Parted-NSN;8;80;6.605855;0.0004166666666666667;3549.0;109435.5;0.0;939.0;1865.0;437522.0;54689.5;1093790.0;100.5
DADCA-Parted-NSN;8;250;2.97309;0.0005666666666666667;7275.0;193290.5;0.0;372.0;1254.5;614332.5;76791.5;1535830.0;99.5
DADCA-Parted-NSN;8;320;2.4427399999999997;0.0006000000000000001;8976.5;218523.5;0.0;287.5;1159.5;638324.5;79790.0;1595800.0;99.5
DADCA-Parted-NSN;8;500;1.6424750000000001;0.000825;13788.5;271608.0;325080.0;158.0;1021.0;679448.5;84930.5;1698610.0;99.5
DADCA-Parted-NSN;16;16;33.076295;0.00036666666666666667;1600.0;47972.0;0.0;11377.0;18665.5;1046203.5;65387.0;1307740.0;100.5
DADCA-Parted-NSN;16;32;22.47697;0.00036666666666666667;2088.5;69450.5;650144.0;7316.0;14956.0;1397523.5;87344.5;1746890.0;100.5
DADCA-Parted-NSN;16;48;17.993584999999996;0.00038333333333333334;2428.0;84007.5;650240.0;5738.0;13291.0;1613860.5;100866.0;2017320.0;100.5
DADCA-Parted-NSN;16;50;17.492520000000003;0.00038333333333333334;2498.0;85910.0;650240.0;5562.0;13081.0;1606568.0;100410.0;2008200.0;100.0
DADCA-Parted-NSN;16;80;12.99912;0.0004166666666666667;3121.0;109435.5;650144.0;3999.5;11574.0;1907001.5;119187.0;2383740.0;100.5
DADCA-Parted-NSN;16;250;5.73914;0.0005166666666666667;5780.0;193290.5;0.0;1584.5;9110.0;2731503.5;170718.5;3414370.0;99.5
DADCA-Parted-NSN;16;320;4.66419;0.0004916666666666667;6652.0;218523.5;0.0;1218.0;8672.5;2795139.5;174695.5;3493910.0;99.5
DADCA-Parted-NSN;16;500;3.0588699999999998;0.0006500000000000001;9333.0;271608.0;325056.0;673.0;7957.0;2844624.5;177788.5;3555770.0;99.5
FPPWR;2;16;2.549855;0.00048333333333333334;4812.0;86950.0;650160.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;2;32;1.35489;0.0007;8152.0;153274.0;650136.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;2;48;0.9034800000000001;0.0007666666666666667;11390.5;214238.5;650136.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;2;50;0.869815;0.00075;11710.5;222345.5;650112.0;0.0;0.0;0.0;0.0;0.0;99.5
FPPWR;2;80;0.557255;0.0008333333333333334;16354.5;310904.0;650112.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;2;250;0.24529499999999999;0.0011333333333333334;27043.5;504970.0;650112.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;2;320;0.21902;0.0010833333333333333;28780.0;532385.5;650112.0;0.0;0.0;0.0;0.0;0.0;100.5
FPPWR;2;500;0.198015;0.0013166666666666667;31620.5;568104.0;650136.0;0.0;0.0;0.0;0.0;0.0;100.5
