;Strategy;mapName;nPOIs;nUAV;SucessTax;pathTime;globalAvgDelay;tourSize;memory;validRVZ;totRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy
2568;DADCA-LKH;200;250;4;2.08398;0.05503333333333334;13484;153.038;-12515912;127;182;321760;80440;1608800.0
2569;TSP-based;131;500;4;1.22042;0.10071666666666668;13714;218.269;12305584;0;0;0;0;0.0
2570;DADCA-LKH-Cut;200;250;4;2.0394400000000004;0.0006333333333333334;9016;154.535;1300384;116;216;163686;40921;818420.0
2571;DADCA-Parted-NSN;17;500;4;0.93624;0.0006666666666666668;14912;269.65500000000003;325056;28;134;88928;22232;444640.0
2572;FPPWR;18;500;4;0.28228000000000003;0.001;31698;576.391;650200;0;0;0;0;0.0
2573;DADCA-LKH;1;500;4;1.24885;0.16191666666666668;24399;213.68;10754928;80;144;351559;87889;1757780.0
2574;TSP-based;132;500;4;1.21085;0.10888333333333333;13313;218.639;12738408;0;0;0;0;0.0
2575;DADCA-NSN;18;500;4;0.9588399999999999;0.0018833333333333334;27389;265.281;2600600;47;109;209814;52453;1049060.0
2576;DADCA-Parted-NSN;18;500;4;0.93609;0.0006500000000000001;14591;266.904;325088;36;148;93803;23450;469000.0
2577;DADCA-LKH-Cut;1;500;4;1.23779;0.0005333333333333334;14651;213.583;1300544;84;199;214640;53660;1073200.0
2578;TSP-based;133;500;4;1.21126;0.4622;13488;218.692;12704584;0;0;0;0;0.0
2579;FPPWR;19;500;4;0.2992;0.0012666666666666668;31995;556.907;650136;0;0;0;0;0.0
2580;DADCA-NSN;19;500;4;0.9938899999999999;0.0018333333333333335;26679;258.832;2600600;66;123;201012;50253;1005060.0
2581;DADCA-LKH;2;500;4;1.2235;0.3836;22330;217.159;10266200;81;130;369561;92390;1847800.0
2582;TSP-based;134;500;4;1.2252399999999999;0.0398;13647;217.501;12833640;0;0;0;0;0.0
2583;DADCA-Parted-NSN;19;500;4;0.9593299999999999;0.0005666666666666667;15730;263.407;325056;47;147;103029;25757;515140.0
2584;DADCA-LKH-Cut;2;500;4;1.21674;0.0010500000000000002;14527;216.907;1300224;80;188;203698;50924;1018480.0
2585;FPPWR;20;500;4;0.28474;0.0011166666666666666;31054;576.211;650112;0;0;0;0;0.0
2586;TSP-based;135;500;4;1.24898;0.17765;13189;213.726;12171800;0;0;0;0;0.0
2587;DADCA-NSN;20;500;4;0.95483;0.00185;26422;264.12;2600600;51;106;203518;50879;1017580.0
2588;DADCA-LKH;3;500;4;1.20777;0.2442;23686;219.037;10262616;63;116;314650;78662;1573240.0
2589;TSP-based;136;500;4;1.22891;0.07540000000000001;13169;216.071;12284872;0;0;0;0;0.0
2590;DADCA-Parted-NSN;20;500;4;0.94563;0.0006333333333333334;14712;270.075;325088;28;128;84855;21213;424260.0
2591;FPPWR;21;500;4;0.2887;0.0009666666666666667;31768;569.996;650112;0;0;0;0;0.0
2592;DADCA-LKH-Cut;3;500;4;1.19371;0.0007333333333333333;14573;218.946;1300272;59;163;163048;40762;815240.0
2593;TSP-based;137;500;4;1.2131299999999998;0.0998;13508;218.615;12767064;0;0;0;0;0.0
2594;DADCA-NSN;21;500;4;0.9744200000000001;0.0018166666666666667;26444;262.511;2600600;49;111;204974;51243;1024860.0
2595;DADCA-Parted-NSN;21;500;4;0.8295;0.0006000000000000001;17465;289.471;325056;37;143;112154;28038;560760.0
2596;DADCA-LKH;4;500;4;1.24561;0.12745;22357;213.799;10173904;80;144;314936;78734;1574680.0
2597;TSP-based;138;500;4;1.19274;0.1869;13735;221.792;12735592;0;0;0;0;0.0
2598;FPPWR;22;500;4;0.28386;0.0012833333333333334;30296;574.362;650112;0;0;0;0;0.0
2599;DADCA-NSN;22;500;4;0.9642200000000001;0.0018333333333333335;26257;262.61400000000003;2600520;47;100;201656;50414;1008280.0
2600;DADCA-LKH-Cut;4;500;4;1.23099;0.0005166666666666667;12295;214.799;1300280;71;174;134109;33527;670540.0
2601;TSP-based;139;500;4;1.2234399999999999;0.038400000000000004;13673;217.481;12819904;0;0;0;0;0.0
2602;DADCA-Parted-NSN;22;500;4;0.91859;0.0006666666666666668;14812;271.305;325056;28;128;85061;21265;425300.0
2603;FPPWR;23;500;4;0.28622;0.0011333333333333334;32317;572.879;650136;0;0;0;0;0.0
2604;DADCA-LKH;5;500;4;1.2226700000000001;0.27013333333333334;21979;217.298;10701760;65;127;321489;80372;1607440.0
2605;TSP-based;140;500;4;1.20915;0.5488500000000001;13009;218.31900000000002;12253784;0;0;0;0;0.0
2606;DADCA-NSN;23;500;4;0.9007799999999999;0.0022833333333333334;29579;274.443;2600600;43;104;163054;40763;815260.0
2607;DADCA-LKH-Cut;5;500;4;1.21202;0.0011333333333333334;13010;216.909;1300408;53;156;150363;37590;751800.0
2608;DADCA-Parted-NSN;23;500;4;0.91176;0.0007;14689;273.937;325056;28;128;86809;21702;434040.0
2609;TSP-based;141;500;4;1.22575;2.376466666666667;13115;216.538;12222120;0;0;0;0;0.0
2610;FPPWR;24;500;4;0.28406;0.0011166666666666666;31363;576.682;650112;0;0;0;0;0.0
2611;DADCA-LKH;6;500;4;1.2038799999999998;0.31885;22973;219.429;10908216;66;125;311847;77961;1559220.0
