Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
ZigZagOverNSNMobility;20;2;3,49816;10;3750000;3000;38;4;3686625;3571930;688
ZigZagOverNSNMobility;20;4;7,98204;10;3750000;3000;46;4;3596775;3392645;410
ZigZagOverNSNMobility;20;4;9,02795;10;3750000;3000;46;4;3586840;3230940;95
ZigZagOverNSNMobility;20;4;7,10529;10;3750000;3000;47;4;3618225;3434305;537
ZigZagOverNSNMobility;20;8;11,42348;10;3750000;3000;55;4;3535180;3265745;481
ZigZagOverNSNMobility;20;8;13,24441;10;3750000;3000;57;4;3509510;2989355;435
ZigZagOverNSNMobility;20;8;15,02070;10;3750000;3000;59;4;3466365;3089620;203
ZigZagOverNSNMobility;20;16;26,65928;10;3750000;3000;77;4;3238210;2679875;325
ZigZagOverNSNMobility;20;16;28,72023;10;3750000;3000;78;4;3181820;2503970;564
ZigZagOverNSNMobility;20;16;25,66371;10;3750000;3000;80;4;3259030;2674720;588
KingstonImprovedOverNSNMobility;20;2;3,08814;10;3750000;3000;39;4;3710070;3590835;64
KingstonImprovedOverNSNMobility;20;2;4,25141;10;3750000;3000;39;4;3695440;3530750;535
KingstonImprovedOverNSNMobility;20;2;3,69701;10;3750000;3000;39;4;3698830;3429280;486
KingstonImprovedOverNSNMobility;20;4;7,62400;10;3750000;3000;47;4;3665220;3247685;16
KingstonImprovedOverNSNMobility;20;4;7,17861;10;3750000;3000;51;4;3647955;3344935;265
KingstonImprovedOverNSNMobility;20;4;6,80809;10;3750000;3000;52;4;3674270;3400580;385
KingstonImprovedOverNSNMobility;20;8;13,36204;10;3750000;3000;62;4;3586185;3057465;410
KingstonImprovedOverNSNMobility;20;8;15,38611;10;3750000;3000;63;4;3536555;2942375;271
KingstonImprovedOverNSNMobility;20;8;16,86989;10;3750000;3000;64;4;3482530;2789975;1424
KingstonImprovedOverNSNMobility;20;16;27,14310;10;3750000;3000;88;4;3368250;2297465;515
KingstonImprovedOverNSNMobility;20;16;25,77694;10;3750000;3000;90;4;3351335;2291290;277
KingstonImprovedOverNSNMobility;20;16;30,15690;10;3750000;3000;92;4;3323500;2100235;739
ZigZagOverNSNMobility;20;2;3,69901;10;3750000;3000;37;4;3679380;3580800;687
ZigZagOverNSNMobility;20;2;3,36656;10;3750000;3000;40;4;3687330;3549470;322
ZigZagOverNSNMobility;20;2;4,32395;10;3750000;3000;41;4;3669775;3552840;315
