Strategy;nPOIs;nUAV;SucessTax;V2V_range;ctRounds;dimX;pathTime;globalAvgDelay;nMsgs;tourSize;memory;validRVZ;totRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy;mapName
TSP-based;50;4;5.44911;71;259200;13000;37;3915;133635;73709;1300512;0;0;0;0;0.0;18
DADCA-LKH-Cut;50;2;2.94595;71;259200;13000;45;4456;71767;69244;650272;62;72;18701;9350;187000.0;8
TSP-based;50;2;2.81856;71;259200;13000;36;3911;68796;73709;1300440;0;0;0;0;0.0;18
DADCA-Parted-NSN;50;16;17.65432;71;259200;13000;22;2388;228842;85679;650240;5535;11584;1591357;99459;1989180.0;5
FPPWR;50;2;0.85552;71;259200;13000;61;10985;20084;224320;650112;0;0;0;0;0.0;6
DADCA-LKH-Cut;50;8;11.13924;71;259200;13000;37;2534;145992;69244;650248;1675;2545;506635;63329;1266580.0;8
FPPWR;50;8;2.78738;71;259200;13000;56;10953;64328;224320;650240;0;0;0;0;0.0;6
TSP-based;50;8;10.68326;71;259200;13000;46;3912;261070;73709;1302288;0;0;0;0;0.0;18
FPPWR;50;4;1.49259;71;259200;13000;34;10960;34269;224320;650136;0;0;0;0;0.0;6
DADCA-LKH-Cut;50;16;21.99147;71;259200;13000;31;4383;300052;69244;1300456;7111;14215;2398971;149935;2998700.0;8
TSP-based;50;16;21.13997;71;259200;13000;37;3913;516000;73709;1300248;0;0;0;0;0.0;18
FPPWR;50;16;5.33387;71;259200;13000;54;10960;122073;224320;650112;0;0;0;0;0.0;6
DADCA-LKH;50;4;5.66119;71;259200;13000;31;5856;135831;70666;1300376;355;409;197513;49378;987560.0;9
TSP-based;50;4;5.20502;71;259200;13000;52;4163;127496;76849;1300512;0;0;0;0;0.0;19
DADCA-NSN;50;2;2.37079;71;259200;13000;28;6790;56736;87955;0;49;54;19481;9740;194800.0;6
DADCA-LKH;50;2;2.94657;71;259200;13000;42;6584;72820;70666;650144;63;68;34142;17071;341420.0;9
TSP-based;50;2;2.71798;71;259200;13000;59;4174;65739;76849;1300456;0;0;0;0;0.0;19
DADCA-NSN;50;8;8.80363;71;259200;13000;22;4626;212447;87955;0;1331;1908;530628;66328;1326560.0;6
DADCA-NSN;50;4;4.49506;71;259200;13000;27;6285;107774;87955;0;293;368;119719;29929;598580.0;6
TSP-based;50;8;10.21242;71;259200;13000;52;4164;248380;76849;1302288;0;0;0;0;0.0;19
DADCA-LKH;50;8;11.12288;71;259200;13000;37;4509;259789;70666;650112;1708;2155;917441;114680;2293600.0;9
DADCA-NSN;50;16;17.28380;71;259200;13000;22;4259;398605;87955;650144;5644;9695;2322568;145160;2903200.0;6
TSP-based;50;16;20.25926;71;259200;13000;42;4165;493463;76849;1300248;0;0;0;0;0.0;19
DADCA-Parted-NSN;50;2;2.60301;71;259200;13000;22;5322;62911;79381;0;61;71;14598;7299;145980.0;6
DADCA-LKH;50;16;21.85058;71;259200;13000;34;4091;487679;70666;1300360;7235;10695;3694528;230908;4618160.0;9
DADCA-Parted-NSN;50;8;9.69221;71;259200;13000;23;2207;113875;79381;0;1413;2315;427382;53422;1068440.0;6
TSP-based;50;4;4.96169;71;259200;13000;42;4486;120641;80528;1317816;0;0;0;0;0.0;20
DADCA-LKH-Cut;50;4;5.51204;71;259200;13000;31;4737;134818;71259;1300536;354;464;107772;26943;538860.0;9
DADCA-Parted-NSN;50;4;4.98218;71;259200;13000;22;2929;70722;79381;0;300;402;81073;20268;405360.0;6
TSP-based;50;2;2.57832;71;259200;13000;47;4482;62975;80528;1300464;0;0;0;0;0.0;20
