Strategy;nUAV;nPOIs;SucessTax;pathTime;globalAvgDelay;tourSize;memory;validRVZ;totRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy;mapName
DADCA-LKH-Cut;8;320;3.205349948979592;0.0010318027210884373;8667.341836734693;175263.54081632654;-14824698.163265307;3355.4948979591836;4212.5204081632655;842792.7959183673;105348.65816326531;2106973.163265306;99.95408163265306
DADCA-LKH-Cut;8;500;2.2332660714285724;0.0007148809523809512;13422.086734693878;217407.2857142857;1318212.4897959183;5165.219387755102;6051.0204081632655;897745.418367347;112217.75;2244355.0;99.95408163265306
DADCA-LKH-Cut;16;16;34.213825549999996;0.001013333333333334;3714.66;46857.9;6606616.04;12863.815;20084.34;1092572.685;68285.33;1365706.6;100.5
DADCA-LKH-Cut;16;32;25.177082249999994;0.0011002500000000007;3024.105;62318.905;6889634.04;8308.39;15629.575;1564273.88;97766.64;1955332.8;100.5
DADCA-LKH-Cut;16;48;20.639904799999986;0.0011280000000000012;2931.595;73830.785;7282500.08;9118.515;16434.3;1881903.205;117618.47;2352369.4;100.5
DADCA-LKH-Cut;16;50;20.17040200000001;0.0005604166666666665;3317.905;75244.52;832277.68;10581.58;17884.945;1913300.56;119580.775;2391615.5;100.5
DADCA-LKH-Cut;16;80;15.571343080808077;0.0011255050505050508;3745.6060606060605;92370.57070707071;7586748.484848484;16822.282828282827;24135.969696969696;2355485.02020202;147217.34848484848;2944346.9696969697;100.44444444444444
DADCA-LKH-Cut;16;160;10.172569492385783;0.0011218274111675132;4134.076142131979;126573.538071066;8005426.598984771;17231.299492385788;24456.700507614212;2992943.0253807106;187058.461928934;3741169.23857868;100.35532994923858
DADCA-LKH-Cut;16;250;7.454497857142859;0.0006827380952380951;5232.34693877551;156051.36224489796;550804.1224489796;19053.816326530614;26198.45408163265;3421798.1326530613;213861.9030612245;4277238.0612244895;99.95408163265306
DADCA-LKH-Cut;16;320;6.1979081122449005;0.0010432823129251725;6448.9795918367345;175263.54081632654;-14582563.06122449;14788.005102040815;21807.448979591838;3663117.8163265307;228944.443877551;4578888.87755102;99.95408163265306
DADCA-LKH-Cut;16;500;4.270089948979591;0.0007137755102040806;10241.520408163266;217407.2857142857;1233460.4897959183;15483.938775510203;22908.90306122449;3910006.5714285714;244374.9387755102;4887498.775510204;99.95408163265306
DADCA-NSN;2;16;4.7992071;0.00035783333333333446;3742.855;46440.6;0.0;101.675;108.135;16273.665;8136.605;162732.1;100.5
DADCA-NSN;2;32;3.249245400000001;0.00039650000000000026;5786.41;66348.9;0.0;68.88;75.825;21728.15;10863.845;217276.9;100.5
DADCA-NSN;2;48;2.57218625;0.0004155833333333333;7657.225;81832.8;0.0;53.285;59.675;25891.635;12945.505;258910.1;100.5
DADCA-NSN;2;50;2.508904554455447;0.00042780528052805273;7872.376237623763;83614.099009901;0.0;51.93564356435643;58.381188118811885;26184.851485148516;13092.18811881188;261843.76237623763;99.51980198019803
DADCA-NSN;2;80;1.9016758080808076;0.0005045454545454542;9913.419191919193;106279.77272727272;0.0;38.58585858585859;44.71212121212121;29565.010101010103;14782.267676767677;295645.35353535356;100.44444444444444
DADCA-NSN;2;250;0.9408103061224494;0.0010065476190476187;17127.841836734693;187082.9642857143;1300242.6530612244;17.806122448979593;23.959183673469386;36886.66836734694;18443.091836734693;368861.8367346939;99.95408163265306
DADCA-NSN;2;320;0.7949989285714277;0.001157568027210883;19470.918367346938;212058.08673469388;1300303.224489796;14.525510204081632;21.163265306122447;36583.44387755102;18291.48469387755;365829.693877551;99.95408163265306
DADCA-NSN;2;500;0.5803068367346943;0.0025763605442176867;25490.54591836735;264343.20408163266;2600671.9183673467;9.739795918367347;16.142857142857142;35012.55612244898;17506.04081632653;350120.8163265306;99.95408163265306
DADCA-NSN;4;16;9.344816299999996;0.00034575000000000084;3299.225;46440.6;0.0;601.29;662.905;100528.16;25131.665;502633.3;100.5
DADCA-NSN;4;32;6.279713950000001;0.0003646666666666675;4877.59;66348.9;0.0;397.44;459.74;128606.315;32151.185;643023.7;100.5
DADCA-NSN;4;48;4.925447649999999;0.00038216666666666683;6191.85;81832.8;0.0;307.525;368.545;146162.49;36540.26;730805.2;100.5
DADCA-NSN;4;50;4.799795693069305;0.0003870462046204623;6339.257425742574;83614.099009901;0.0;299.2029702970297;360.990099009901;148086.49504950494;37021.267326732675;740425.3465346535;99.51980198019803
DADCA-NSN;4;80;3.5864598989898977;0.00042281144781144715;8409.0101010101;106279.77272727272;650142.4646464647;220.52020202020202;286.3030303030303;170458.99494949495;42614.38383838384;852287.6767676767;100.44444444444444
DADCA-NSN;4;250;1.6726903061224487;0.0007865646258503386;16394.668367346938;187082.9642857143;1300362.1224489796;132.27551020408163;191.8673469387755;212201.05102040817;53049.86224489796;1060997.2448979593;99.95408163265306
DADCA-NSN;4;320;1.3921781632653063;0.0010097789115646265;19209.438775510203;212058.08673469388;1300260.775510204;1382.9795918367347;1443.6989795918366;213239.98469387754;53309.62244897959;1066192.448979592;99.95408163265306
DADCA-NSN;4;500;0.9626910714285709;0.001851530612244902;27309.45918367347;264343.20408163266;2630449.224489796;49.066326530612244;107.40306122448979;195241.556122449;48810.01530612245;976200.306122449;99.95408163265306
DADCA-NSN;8;16;18.316296650000005;0.0003824166666666675;2705.145;46440.6;0.0;2848.96;3338.42;451714.23;56463.85;1129277.0;100.5
DADCA-NSN;8;32;12.28478390000001;0.0003988333333333337;3871.055;66348.9;0.0;2396.885;2884.98;576015.125;72001.435;1440028.7;100.5
DADCA-NSN;8;48;9.602728550000002;0.0004277499999999998;4784.84;81832.8;0.0;1436.9;1920.36;651970.305;81495.855;1629917.1;100.5
DADCA-NSN;8;50;9.346400693069306;0.0004318481848184814;4897.044554455446;83614.099009901;0.0;2341.658415841584;2829.8267326732675;658512.6336633663;82313.66336633664;1646273.2673267326;99.51980198019803
DADCA-NSN;8;80;6.943151414141414;0.000484175084175084;6229.070707070707;106279.77272727272;0.0;1022.959595959596;1512.0;755033.5454545454;94378.75757575757;1887575.1515151516;100.44444444444444
DADCA-NSN;8;250;3.135484693877552;0.001031802721088435;12088.285714285714;187082.9642857143;650164.0408163265;2368.964285714286;2848.984693877551;949279.7397959183;118659.52040816327;2373190.4081632653;99.95408163265306
DADCA-NSN;8;320;2.559989234693877;0.001184013605442175;14456.229591836734;212058.08673469388;1300282.857142857;786.2602040816327;1259.280612244898;935673.6224489796;116958.77551020408;2339175.5102040814;99.95408163265306
DADCA-NSN;8;500;1.7165391326530621;0.0025973639455782317;20616.576530612245;264343.20408163266;2597274.8163265307;3366.734693877551;3829.8520408163267;824900.1224489796;103112.0969387755;2062241.9387755103;99.95408163265306
DADCA-NSN;16;16;35.96675264999999;0.0003508333333333345;2399.51;46440.6;650135.72;12430.78;16176.435;1827070.065;114191.395;2283827.9;100.5
DADCA-NSN;16;32;24.19474620000001;0.00036691666666666784;3410.045;66348.9;650113.88;11292.395;15003.56;2351214.545;146950.39;2939007.8;100.5
DADCA-NSN;16;48;18.917499250000002;0.00038358333333333365;4191.075;81832.8;650252.4;11925.795;15609.035;2667487.205;166717.495;3334349.9;100.5
DADCA-NSN;16;50;18.40286258706468;0.0003827529021558874;4294.771144278607;83634.03482587065;650146.1492537314;7690.830845771145;11342.129353233831;2705688.84079602;169105.1144278607;3382102.2885572137;100.0049751243781
DADCA-NSN;16;80;13.619144545454548;0.00044234006734006684;5582.722222222223;106279.77272727272;650112.4848484849;7820.80808080808;11491.479797979799;3090332.095959596;193145.28282828283;3862905.6565656564;100.44444444444444
