FPPWRMobility;800;16;0.39054%;71;259200;12649;142318MiliSegs;1_TSP_thread;258740;257120;18734;85;121544;562681;0.15067246025281975;0.06940753588184224;map_4.txt
ZigZagOverNSN;800;2;0.41038%;71;259200;12649;109967MiliSegs;1_TSP_thread;258675;257395;26663;6244;142410;338210;0.15832394874780764;0.12133753441776335;map_4.txt
ZigZagOverNSN;800;4;0.51227%;71;259200;12649;112321MiliSegs;1_TSP_thread;258530;256955;24830;725;125948;338210;0.19763538957714252;0.15146534099640857;map_4.txt
ZigZagOverNSN;800;8;0.59856%;71;259200;12649;118987MiliSegs;1_TSP_thread;258640;256850;22070;9;190080;338210;0.23092424845917128;0.17697751456378344;map_4.txt
ZigZagOverNSN;800;16;1.08516%;71;259200;12649;140972MiliSegs;1_TSP_thread;257620;255175;15007;5822;396011;338210;0.4186559606481469;0.3208527985571085;map_4.txt
FPPWRMobility;20;2;2.15480%;71;259200;12649;3277MiliSegs;1_TSP_thread;254100;252855;3367;859;20463;91679;0.8313284107796078;2.3503782117395953;map_5.txt
FPPWRMobility;20;4;3.80035%;71;259200;12649;4036MiliSegs;1_TSP_thread;249985;248335;3316;859;36581;91679;1.4661833419067216;4.145275605342796;map_5.txt
FPPWRMobility;20;8;6.01225%;71;259200;12649;5998MiliSegs;1_TSP_thread;245055;242235;3294;859;57540;91679;2.3195405973746377;6.557934999721922;map_5.txt
FPPWRMobility;20;16;11.80816%;71;259200;12649;12706MiliSegs;1_TSP_thread;231125;225830;3291;859;113226;91679;4.555617176783265;12.879895856436287;map_5.txt
ZigZagOverNSN;20;2;4.62027%;71;259200;12649;3914MiliSegs;1_TSP_thread;253080;241785;2644;1245;44589;54523;1.7825130863244916;8.473990645696462;map_5.txt
ZigZagOverNSN;20;4;8.15143%;71;259200;12649;4769MiliSegs;1_TSP_thread;249595;227070;1878;125;74525;54523;3.1448408445739995;14.950438290511906;map_5.txt
ZigZagOverNSN;20;8;13.28906%;71;259200;12649;6260MiliSegs;1_TSP_thread;243025;209630;1797;125;125739;54523;5.126953125000002;24.3733149313134;map_5.txt
