Strategy;mapName;nPOIs;nUAV;SucessTax;pathTime;globalAvgDelay;tourSize;memory;validRVZ;totRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy
DADCA-LKH;10;80;4.0;4.20498;0.0023333333333333335;7426.0;90.396;9752776.0;265.0;321.0;221624.0;55406.0;1108120.0
DADCA-LKH;10;160;4.0;2.70517;0.006616666666666667;10799.0;127.631;-12180840.0;171.0;224.0;255899.0;63974.0;1279480.0
DADCA-LKH;10;250;4.0;2.05443;0.055400000000000005;13883.0;155.001;-12573384.0;125.0;181.0;311011.0;77752.0;1555040.0
DADCA-LKH;10;320;4.0;1.7514299999999998;0.07066666666666667;16644.0;172.19;3577440.0;103.0;157.0;330219.0;82554.0;1651080.0
DADCA-LKH;10;500;4.0;1.23128;0.08413333333333334;23191.0;215.609;10071152.0;73.0;126.0;315489.0;78872.0;1577440.0
DADCA-LKH;11;16;4.0;11.284239999999999;0.0008666666666666667;3146.0;38.183;7802688.0;725.0;779.0;149502.0;37375.0;747500.0
DADCA-LKH;11;32;4.0;6.820139999999999;0.0012000000000000001;4909.0;60.64;7802344.0;435.0;490.0;162678.0;40669.0;813380.0
DADCA-LKH;11;48;4.0;5.68922;0.0022500000000000003;6102.0;70.234;9120496.0;362.0;416.0;207399.0;51849.0;1036980.0
DADCA-LKH;11;50;4.0;5.6212599999999995;0.0005;5633.0;71.141;1300272.0;354.0;407.0;219083.0;54770.0;1095400.0
DADCA-LKH;11;80;4.0;4.33336;0.0022;7178.0;88.053;9102688.0;273.0;326.0;225437.0;56359.0;1127180.0
DADCA-LKH;11;160;4.0;2.71296;0.008216666666666667;10771.0;127.265;-12486816.0;165.0;218.0;274676.0;68669.0;1373380.0
DADCA-LKH;11;250;4.0;1.9930900000000003;0.0324;14539.0;158.861;-13151168.0;121.0;174.0;295590.0;73897.0;1477940.0
DADCA-LKH;11;320;4.0;1.71685;0.05591666666666667;16364.0;175.339;3510728.0;97.0;157.0;316540.0;79135.0;1582700.0
DADCA-LKH;11;500;4.0;1.20461;0.30878333333333335;23330.0;219.534;10215160.0;74.0;127.0;292242.0;73060.0;1461200.0
DADCA-LKH;12;16;4.0;9.09228;0.00115;3569.0;46.928000000000004;7803672.0;595.0;648.0;112784.0;28196.0;563920.0
DADCA-LKH;12;32;4.0;6.848960000000001;0.0011166666666666666;4788.0;60.252;8453248.0;435.0;488.0;171158.0;42789.0;855780.0
