Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
ZigZagOverNSNMobility;20;4;6.90023;10;3750000;3000;40;4;3621990;3441540;617
KingstonImprovedOverNSNMobility;20;4;6.77177;10;3750000;3000;43;4;3673430;3297000;617
TSPbasedMobility;20;4;6.49718;10;3750000;3000;595;4;3511235;3500280;982
ZigZagOverNSNMobility;20;2;3.46460;10;3750000;3000;34;4;3685775;3590980;617
KingstonImprovedOverNSNMobility;20;2;3.80895;10;3750000;3000;34;4;3693010;3516575;617
TSPbasedMobility;20;2;3.00032;10;3750000;3000;479;4;3639665;3634630;1937
ZigZagOverNSNMobility;20;16;24.78063;10;3750000;3000;62;4;3258410;2655155;402
KingstonImprovedOverNSNMobility;20;16;22.92606;10;3750000;3000;77;4;3389975;2455910;402
TSPbasedMobility;20;16;25.55888;10;3750000;3000;248;4;2811885;2774655;761
ZigZagOverNSNMobility;20;8;12.51411;10;3750000;3000;47;4;3505015;3188685;402
KingstonImprovedOverNSNMobility;20;8;11.46127;10;3750000;3000;52;4;3573640;3138855;402
TSPbasedMobility;20;8;11.79305;10;3750000;3000;204;4;3325710;3146600;584
ZigZagOverNSNMobility;20;4;6.30562;10;3750000;3000;37;4;3628190;3460985;402
KingstonImprovedOverNSNMobility;20;4;5.42884;10;3750000;3000;43;4;3658815;3414865;402
TSPbasedMobility;20;4;6.38009;10;3750000;3000;214;4;3515225;3505355;594
KingstonImprovedOverNSNMobility;20;2;2.91257;10;3750000;3000;34;4;3702345;3565435;402
ZigZagOverNSNMobility;20;2;3.16799;10;3750000;3000;34;4;3689285;3606555;402
TSPbasedMobility;20;2;3.22301;10;3750000;3000;199;4;3631695;3627070;525
ZigZagOverNSNMobility;20;16;25.53087;10;3750000;3000;64;4;3244490;2715080;240
KingstonImprovedOverNSNMobility;20;16;24.08346;10;3750000;3000;80;4;3433515;2395930;240
TSPbasedMobility;20;16;24.17911;10;3750000;3000;135;4;2858250;2823325;240
ZigZagOverNSNMobility;20;8;12.86460;10;3750000;3000;49;4;3498025;3213685;240
KingstonImprovedOverNSNMobility;20;8;12.34373;10;3750000;3000;54;4;3592800;3084475;240
TSPbasedMobility;20;8;13.53856;10;3750000;3000;121;4;3251460;3231295;314
