TSPConcorde;200;4;2,13668%;71;259200;13000;27104MiliSegs;520MiliSegs;4_TSP_thread;254210;253210;13968;132;193471;132779;0.8243364852442482;1.609200377885879;map_4.txt
FPPWRMobility;200;4;0,31874%;71;259200;13000;26697MiliSegs;40MiliSegs;4_TSP_thread;258685;257365;50721;376;23016;476210;0.12297081594840815;0.06693273029509543;map_4.txt
ZigZagOverNSN;200;4;1,74846%;71;259200;13000;26708MiliSegs;31MiliSegs;4_TSP_thread;256790;251865;21487;132;160933;158903;0.6745589468068881;1.1003296288449267;map_4.txt
TSPConcorde;200;16;8,03241%;71;259200;13000;36049MiliSegs;620MiliSegs;4_TSP_thread;240240;236420;13983;132;743167;132779;3.0989226108824863;6.049456169580584;map_4.txt
FPPWRMobility;200;16;0,95241%;71;259200;13000;47214MiliSegs;32MiliSegs;4_TSP_thread;257570;254340;50630;376;60868;476210;0.36744261783645676;0.1999981658159417;map_4.txt
ZigZagOverNSN;200;16;6,47920%;71;259200;13000;38656MiliSegs;31MiliSegs;4_TSP_thread;250475;231550;17885;132;574258;158903;2.4996896612082757;4.077453290278881;map_4.txt
TSPConcorde;800;4;0,74294%;71;259200;13000;106745MiliSegs;2907MiliSegs;4_TSP_thread;257755;256170;31528;24;239102;270680;0.2866298755191656;0.2744734141220915;map_4.txt
FPPWRMobility;800;4;0,23060%;71;259200;13000;103664MiliSegs;62MiliSegs;4_TSP_thread;258860;258145;62865;323;60827;562681;0.08896657777730353;0.040982611746046296;map_4.txt
ZigZagOverNSN;800;4;0,52943%;71;259200;13000;105865MiliSegs;220MiliSegs;4_TSP_thread;258410;256580;58362;24;180879;338210;0.204256136521681;0.1565394003323962;map_4.txt
TSPConcorde;800;16;2,49203%;71;259200;13000;125371MiliSegs;4000MiliSegs;4_TSP_thread;254290;247500;31148;132;774408;270140;0.9614316233591478;0.9224960271514441;map_4.txt
FPPWRMobility;800;16;0,66555%;71;259200;13000;130078MiliSegs;62MiliSegs;4_TSP_thread;258295;255760;62886;323;153111;562681;0.2567690695373239;0.11828112700459828;map_4.txt
