Strategy;nPOIs;nUAV;SucessTax;V2V_range;ctRounds;dimX;simumationTimeMS;pathTime;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize;memory;mapName
TSP-based;50;2;0.00000;71;2;13000;5682;5623;4;2;2;-1;0;0;82727;0.0;0.0;-1;35
FPPWR;50;2;0.00000;71;2;13000;179;112;4;2;2;-1;0;0;213117;0.0;0.0;-1;35
DADCA-NSN;50;2;0.00000;71;2;13000;86;32;4;2;2;-1;0;0;86949;0.0;0.0;-1;35
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;91;31;4;2;2;-1;0;0;99917;0.0;0.0;-1;35
DADCA-LKH;50;2;0.00000;71;2;13000;460;401;4;2;2;-1;0;0;82727;0.0;0.0;-1;35
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;456;395;4;2;2;-1;0;0;83815;0.0;0.0;-1;35
TSP-based;50;2;0.00000;71;2;13000;3919;3863;4;2;2;-1;0;0;75815;0.0;0.0;-1;36
FPPWR;50;2;0.00000;71;2;13000;178;108;4;2;2;-1;0;0;225388;0.0;0.0;-1;36
DADCA-NSN;50;2;0.00000;71;2;13000;95;32;4;2;2;-1;0;0;86775;0.0;0.0;-1;36
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;95;31;4;2;2;-1;0;0;89756;0.0;0.0;-1;36
DADCA-LKH;50;2;0.00000;71;2;13000;324;266;4;2;2;-1;0;0;75815;0.0;0.0;-1;36
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;325;257;4;2;2;-1;0;0;76720;0.0;0.0;-1;36
TSP-based;50;2;0.00000;71;2;13000;2579;2523;4;2;2;-1;0;0;71331;0.0;0.0;-1;37
FPPWR;50;2;0.00000;71;2;13000;182;115;4;2;2;-1;0;0;157918;0.0;0.0;-1;37
DADCA-NSN;50;2;0.00000;71;2;13000;92;32;4;2;2;-1;0;0;80604;0.0;0.0;-1;37
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;91;35;4;2;2;-1;0;0;85186;0.0;0.0;-1;37
DADCA-LKH;50;2;0.00000;71;2;13000;247;189;4;2;2;-1;0;0;71331;0.0;0.0;-1;37
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;244;185;4;2;2;-1;0;0;73026;0.0;0.0;-1;37
TSP-based;50;2;0.00000;71;2;13000;2576;2510;4;2;2;-1;0;0;73441;0.0;0.0;-1;38
FPPWR;50;2;0.00000;71;2;13000;179;112;4;2;2;-1;0;0;175151;0.0;0.0;-1;38
DADCA-NSN;50;2;0.00000;71;2;13000;97;35;4;2;2;-1;0;0;86043;0.0;0.0;-1;38
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;90;36;4;2;2;-1;0;0;90233;0.0;0.0;-1;38
DADCA-LKH;50;2;0.00000;71;2;13000;279;215;4;2;2;-1;0;0;73441;0.0;0.0;-1;38
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;278;222;4;2;2;-1;0;0;77003;0.0;0.0;-1;38
TSP-based;50;2;0.00000;71;2;13000;3143;3073;4;2;2;-1;0;0;71258;0.0;0.0;-1;39
